"filename", "language", "Python", "pip requirements", "JSON", "JavaScript", "CSS", "XML", "Django HTML", "Markdown", "Shell Script", "comment", "blank", "total"
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\selector-icons.svg", "XML", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\sorting-icons.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\tooltag-add.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\img\tooltag-arrowright.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\SelectBox.js", "JavaScript", 0, 0, 0, 111, 0, 0, 0, 0, 0, 5, 1, 117
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\SelectFilter2.js", "JavaScript", 0, 0, 0, 235, 0, 0, 0, 0, 0, 28, 24, 287
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\actions.js", "JavaScript", 0, 0, 0, 175, 0, 0, 0, 0, 0, 9, 21, 205
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 0, 0, 0, 317, 0, 0, 0, 0, 0, 65, 27, 409
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 0, 205, 0, 0, 0, 0, 0, 13, 23, 241
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\autocomplete.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 4, 34
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\calendar.js", "JavaScript", 0, 0, 0, 196, 0, 0, 0, 0, 0, 28, 16, 240
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\cancel.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 3, 30
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\change_form.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 1, 17
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\core.js", "JavaScript", 0, 0, 0, 148, 0, 0, 0, 0, 0, 19, 18, 185
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\filters.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 5, 31
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\inlines.js", "JavaScript", 0, 0, 0, 272, 0, 0, 0, 0, 0, 61, 27, 360
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\jquery.init.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 6, 1, 9
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 1, 6, 80
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\popup_response.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\prepopulate.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 10, 5, 44
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\prepopulate_init.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\theme.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 6, 52
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\unusable_password_field.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 1, 30
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\urlify.js", "JavaScript", 0, 0, 0, 159, 0, 0, 0, 0, 0, 5, 6, 170
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\jquery\jquery.js", "JavaScript", 0, 0, 0, 6767, 0, 0, 0, 0, 0, 1887, 2063, 10717
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\jquery\jquery.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\af.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\ar.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\az.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\bg.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\bn.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\bs.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\ca.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\cs.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\da.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\de.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\dsb.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\el.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\en.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\es.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\et.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\eu.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\fa.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\fi.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\fr.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\gl.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\he.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"e:\Django\Amizone-Backend\staticfiles_build\static\admin\js\vendor\select2\i18n\hi.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
